         34042898 function calls (33425683 primitive calls) in 1591.988 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      206    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      847    0.001    0.000    0.003    0.000 composer.py:88(compose_scalar_node)
       20    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     1010    0.001    0.000    0.002    0.000 resolver.py:143(resolve)
   227/24    0.001    0.000    0.005    0.000 _compiler.py:37(_compile)
      288    0.001    0.000    0.006    0.000 _weakrefset.py:120(update)
     1010    0.001    0.000    0.002    0.000 constructor.py:67(construct_object)
      834    0.001    0.000    0.025    0.000 scanner.py:668(fetch_plain)
     1022    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       59    0.001    0.000    0.057    0.001 composer.py:99(compose_sequence_node)
      885    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      578    0.001    0.000    0.001    0.000 _weakrefset.py:53(_commit_removals)
       64    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      578    0.001    0.000    0.002    0.000 _weakrefset.py:27(__exit__)
        7    0.001    0.000    0.002    0.000 enum.py:1749(convert_class)
     4436    0.001    0.000    0.001    0.000 error.py:6(__init__)
      174    0.001    0.000    0.001    0.000 scanner.py:545(fetch_value)
       87    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       66    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
    104/2    0.001    0.000    0.080    0.040 composer.py:117(compose_mapping_node)
      578    0.001    0.000    0.001    0.000 _weakrefset.py:21(__enter__)
      278    0.001    0.000    0.006    0.000 parser.py:427(parse_block_mapping_key)
        7    0.001    0.000    0.003    0.000 enum.py:894(_convert_)
     87/4    0.001    0.000    0.203    0.051 <frozen importlib._bootstrap>:1349(_find_and_load)
      288    0.001    0.000    0.008    0.000 _weakrefset.py:95(copy)
     2217    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1689    0.001    0.000    0.001    0.000 scanner.py:325(unwind_indent)
       64    0.001    0.000    0.042    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
      847    0.000    0.000    0.001    0.000 constructor.py:173(construct_scalar)
     1765    0.000    0.000    0.001    0.000 _parser.py:260(get)
     1576    0.000    0.000    0.001    0.000 _parser.py:167(__getitem__)
     1177    0.000    0.000    0.002    0.000 scanner.py:125(peek_token)
       99    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
        8    0.000    0.000    0.080    0.010 __init__.py:1(<module>)
      294    0.000    0.000    0.001    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
    87/24    0.000    0.000    0.005    0.000 _parser.py:451(_parse_sub)
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
   201/10    0.000    0.000    0.194    0.019 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      662    0.000    0.000    0.009    0.000 parser.py:264(parse_block_node)
   259/57    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
      147    0.000    0.000    0.001    0.000 threading.py:306(__exit__)
      145    0.000    0.000    0.052    0.000 std.py:760(get_lock)
     1644    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     2192    0.000    0.000    0.000    0.000 _parser.py:239(__next)
       85    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      834    0.000    0.000    0.000    0.000 scanner.py:731(check_plain)
     2174    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       86    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     87/4    0.000    0.000    0.202    0.051 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      174    0.000    0.000    0.012    0.000 parser.py:446(parse_block_mapping_value)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
     86/6    0.000    0.000    0.196    0.033 <frozen importlib._bootstrap>:911(_load_unlocked)
     1498    0.000    0.000    0.000    0.000 scanner.py:312(remove_possible_simple_key)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
     66/1    0.000    0.000 1443.597 1443.597 {built-in method builtins.exec}
      578    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
      660    0.000    0.000    0.000    0.000 scanner.py:706(check_block_entry)
      292    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     1338    0.000    0.000    0.000    0.000 tokens.py:3(__init__)
      766    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     1843    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     1610    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1181    0.000    0.000    0.000    0.000 parser.py:114(get_event)
      145    0.000    0.000    0.000    0.000 threading.py:315(_acquire_restore)
        1    0.000    0.000    0.115    0.115 hlsp_filename.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      290    0.000    0.000    0.000    0.000 std.py:1157(__hash__)
      834    0.000    0.000    0.001    0.000 constructor.py:402(construct_yaml_str)
        1    0.000    0.000    0.000    0.000 tokens.py:1(<module>)
      579    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       64    0.000    0.000    0.033    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
      348    0.000    0.000    0.006    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
       86    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1010    0.000    0.000    0.000    0.000 resolver.py:91(descend_resolver)
      834    0.000    0.000    0.000    0.000 scanner.py:349(add_indent)
      104    0.000    0.000    0.001    0.000 constructor.py:132(construct_mapping)
      847    0.000    0.000    0.000    0.000 constructor.py:117(construct_scalar)
     1113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      589    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      827    0.000    0.000    0.000    0.000 _parser.py:255(match)
      847    0.000    0.000    0.000    0.000 events.py:65(__init__)
       59    0.000    0.000    0.002    0.000 constructor.py:124(construct_sequence)
     1010    0.000    0.000    0.000    0.000 parser.py:107(peek_event)
      234    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      847    0.000    0.000    0.000    0.000 nodes.py:27(__init__)
